"filename", "language", "Python", "PowerShell", "JSON", "JSON Lines", "Markdown", "comment", "blank", "total"
"/home/kali/penhackit/mvp/README.md", "Markdown", 0, 0, 0, 0, -134, 0, -22, -156
"/home/kali/penhackit/mvp/_kb_monitor.ps1", "PowerShell", 0, -6, 0, 0, 0, 0, 0, -6
"/home/kali/penhackit/mvp/datasets/dataset_20260225_005806_mvp/dataset.jsonl", "JSON Lines", 0, 0, 0, -2, 0, 0, -1, -3
"/home/kali/penhackit/mvp/datasets/examples_demo/dataset copy 2.jsonl", "JSON Lines", 0, 0, 0, -19, 0, 0, 0, -19
"/home/kali/penhackit/mvp/datasets/examples_demo/dataset copy 3.jsonl", "JSON Lines", 0, 0, 0, -19, 0, 0, 0, -19
"/home/kali/penhackit/mvp/datasets/examples_demo/dataset copy 4.jsonl", "JSON Lines", 0, 0, 0, -19, 0, 0, 0, -19
"/home/kali/penhackit/mvp/datasets/examples_demo/dataset copy.jsonl", "JSON Lines", 0, 0, 0, -19, 0, 0, 0, -19
"/home/kali/penhackit/mvp/datasets/examples_demo/dataset.jsonl", "JSON Lines", 0, 0, 0, -19, 0, 0, 0, -19
"/home/kali/penhackit/mvp/kb1.json", "JSON", 0, 0, -46, 0, 0, 0, 0, -46
"/home/kali/penhackit/mvp/main copy.py", "Python", -64, 0, 0, 0, 0, -362, -11, -437
"/home/kali/penhackit/mvp/main.py", "Python", -120, 0, 0, 0, 0, -2334, -17, -2471
"/home/kali/penhackit/mvp/models/datasets/decision_tree/metrics.json", "JSON", 0, 0, -161, 0, 0, 0, 0, -161
"/home/kali/penhackit/mvp/models/datasets/decision_tree_1/metrics.json", "JSON", 0, 0, -161, 0, 0, 0, 0, -161
"/home/kali/penhackit/mvp/models/datasets/decision_tree_2/metrics.json", "JSON", 0, 0, -161, 0, 0, 0, 0, -161
"/home/kali/penhackit/mvp/models/datasets/decision_tree_3/metrics.json", "JSON", 0, 0, -161, 0, 0, 0, 0, -161
"/home/kali/penhackit/mvp/models/datasets/mlp/metrics.json", "JSON", 0, 0, -184, 0, 0, 0, 0, -184
"/home/kali/penhackit/mvp/models/datasets/mlp_1/metrics.json", "JSON", 0, 0, -184, 0, 0, 0, 0, -184
"/home/kali/penhackit/mvp/models/datasets/mlp_2/metrics.json", "JSON", 0, 0, -184, 0, 0, 0, 0, -184
"/home/kali/penhackit/mvp/models/datasets/random_forest/metrics.json", "JSON", 0, 0, -140, 0, 0, 0, 0, -140
"/home/kali/penhackit/mvp/models/examples_demo/decision_tree/metrics.json", "JSON", 0, 0, -161, 0, 0, 0, 0, -161
"/home/kali/penhackit/mvp/models/examples_demo/logreg/metrics.json", "JSON", 0, 0, -140, 0, 0, 0, 0, -140
"/home/kali/penhackit/mvp/models/examples_demo/random_forest/metrics.json", "JSON", 0, 0, -140, 0, 0, 0, 0, -140
"/home/kali/penhackit/mvp/models/examples_demo/random_forest_1/metrics.json", "JSON", 0, 0, -140, 0, 0, 0, 0, -140
"/home/kali/penhackit/mvp/sessions/session_20260223_205113/kb.json", "JSON", 0, 0, -6, 0, 0, 0, 0, -6
"/home/kali/penhackit/mvp/sessions/session_20260223_205638/kb.json", "JSON", 0, 0, -6, 0, 0, 0, 0, -6
"/home/kali/penhackit/mvp/sessions/session_20260223_205638/session_config.json", "JSON", 0, 0, -4, 0, 0, 0, 0, -4
"/home/kali/penhackit/mvp/sessions/session_20260223_205638/session_context.json", "JSON", 0, 0, -5, 0, 0, 0, 0, -5
"/home/kali/penhackit/mvp/sessions/session_20260223_205845/kb.json", "JSON", 0, 0, -6, 0, 0, 0, 0, -6
"/home/kali/penhackit/mvp/sessions/session_20260223_205845/session_config.json", "JSON", 0, 0, -4, 0, 0, 0, 0, -4
"/home/kali/penhackit/mvp/sessions/session_20260223_205845/session_context.json", "JSON", 0, 0, -6, 0, 0, 0, 0, -6
