iter	MultiClass
0	2.292179026
1	2.28116581
2	2.271248209
3	2.260942962
4	2.253909349
5	2.241621298
6	2.233040122
7	2.226110167
8	2.216825517
9	2.204260887
10	2.192215468
11	2.178590871
12	2.172192273
13	2.161694261
14	2.157442366
15	2.144797434
16	2.134042555
17	2.121479821
18	2.108168239
19	2.095608658
20	2.082775659
21	2.071138733
22	2.062399421
23	2.0500992
24	2.039119561
25	2.028420344
26	2.015930231
27	2.00589114
28	1.999494845
29	1.987560736
30	1.977073544
31	1.967715468
32	1.955538651
33	1.944615231
34	1.935223068
35	1.923940752
36	1.912733328
37	1.901197528
38	1.88991095
39	1.879206716
40	1.868661175
41	1.858232828
42	1.852535539
43	1.841235121
44	1.830524943
45	1.820475862
46	1.809427495
47	1.798450081
48	1.78911401
49	1.781379558
50	1.770063353
51	1.760675868
52	1.749658317
53	1.738415185
54	1.727359854
55	1.718931259
56	1.708177585
57	1.696963346
58	1.688570769
59	1.682124901
60	1.671401524
61	1.661736544
62	1.651824934
63	1.641673696
64	1.630831412
65	1.622148897
66	1.611989381
67	1.602348695
68	1.593306397
69	1.584325699
70	1.575197503
71	1.565332228
72	1.555538778
73	1.545427162
74	1.536106684
75	1.527172808
76	1.517436331
77	1.50857757
78	1.499485908
79	1.491721468
80	1.483277982
81	1.474144996
82	1.464743295
83	1.455456184
84	1.44554159
85	1.436040747
86	1.426932056
87	1.418797625
88	1.411618926
89	1.40209419
90	1.393539272
91	1.384695215
92	1.377157933
93	1.369364549
94	1.360259872
95	1.351584451
96	1.342651746
97	1.335222432
98	1.326362948
99	1.318781579
100	1.309784651
101	1.301492338
102	1.292861004
103	1.284099718
104	1.275455959
105	1.267205989
106	1.258919101
107	1.250406897
108	1.241629984
109	1.233744204
110	1.225670142
111	1.217775557
112	1.209572836
113	1.201434187
114	1.193505538
115	1.185639826
116	1.178082915
117	1.170332839
118	1.162482329
119	1.155571344
120	1.147833479
121	1.140061464
122	1.132417799
123	1.124537068
124	1.116717996
125	1.10997281
126	1.10246612
127	1.095058228
128	1.088261312
129	1.080924083
130	1.073449113
131	1.066270436
132	1.059243372
133	1.051941468
134	1.047345913
135	1.040340608
136	1.033393629
137	1.026299652
138	1.019664179
139	1.014010737
140	1.00831681
141	1.002304581
142	0.9961677401
143	0.9899865465
144	0.9835523984
145	0.9768628977
146	0.970782657
147	0.9645815932
148	0.9583489642
149	0.9520558775
150	0.9464317322
151	0.9400480239
152	0.934082025
153	0.9278005976
154	0.9215714444
155	0.9153942021
156	0.9104266317
157	0.9043421844
158	0.901380213
159	0.8960508901
160	0.8900864371
161	0.884514535
162	0.8806946871
163	0.8748586932
164	0.8690717852
165	0.8636675506
166	0.8590644687
167	0.8541773031
168	0.8485640529
169	0.8434290505
170	0.8382497296
171	0.8331751681
172	0.8277393022
173	0.8226055728
174	0.8177208189
175	0.812670191
176	0.8086376513
177	0.8035508429
178	0.7985249628
179	0.7935919384
180	0.7887396724
181	0.7841586905
182	0.7810088511
183	0.7761230201
184	0.7712955379
185	0.7665728031
186	0.7617009186
187	0.7571086943
188	0.7523172507
189	0.7475666014
190	0.7428564009
191	0.7381863053
192	0.7337859349
193	0.7293187012
194	0.7251026503
195	0.7205835817
196	0.7162270726
197	0.7122770305
198	0.7079918052
199	0.7036181485
200	0.6992816873
201	0.6949820942
202	0.6907190441
203	0.6866102015
204	0.6824182601
205	0.6782619066
206	0.6742652728
207	0.6703341468
208	0.6662802263
209	0.6626052349
210	0.658737045
211	0.6549968254
212	0.6512318405
213	0.6475322846
214	0.6438889339
215	0.6400582457
216	0.6364070627
217	0.6327269775
218	0.6290947399
219	0.6254930818
220	0.6218173884
221	0.6183209139
222	0.614705457
223	0.6112286708
224	0.6079740555
225	0.6047754128
226	0.6014107412
227	0.5981078864
228	0.5947394302
229	0.5913210259
230	0.5879311488
231	0.5845695326
232	0.5812359128
233	0.5791536749
234	0.5758649053
235	0.572603451
236	0.5694609353
237	0.566252576
238	0.5630707765
239	0.5599152867
240	0.557116666
241	0.5540868673
242	0.5512698866
243	0.5483624798
244	0.5455880572
245	0.542698351
246	0.5398289555
247	0.5368643495
248	0.5340418744
249	0.5313706856
250	0.528475071
251	0.5256030641
252	0.5227544412
253	0.5200439252
254	0.5174640846
255	0.5149075637
256	0.5122826564
257	0.5095418081
258	0.5069591574
259	0.5050301405
260	0.5024223349
261	0.4997607773
262	0.4974469343
263	0.4949013732
264	0.4925983314
265	0.490145794
266	0.4875823857
267	0.4850394346
268	0.4825167462
269	0.4800141281
270	0.4775313895
271	0.4751410575
272	0.4726969318
273	0.470404346
274	0.4681944231
275	0.465804994
276	0.4635334904
277	0.461384591
278	0.4591469999
279	0.4568285223
280	0.4546538013
281	0.4524672088
282	0.4502007888
283	0.4480647695
284	0.4458970758
285	0.4436816482
286	0.4415771661
287	0.4395145535
288	0.4375310033
289	0.4353800388
290	0.4334001148
291	0.4313913448
292	0.4292874621
293	0.4272898438
294	0.4253318999
295	0.4234212154
296	0.4219657107
297	0.4199335365
298	0.4184549852
299	0.4164493973
