iter	Passed	Remaining
0	52	15691
1	55	8332
2	56	5595
3	57	4225
4	57	3387
5	59	2904
6	59	2500
7	60	2195
8	60	1954
9	62	1812
10	63	1676
11	65	1571
12	65	1448
13	66	1357
14	66	1270
15	68	1221
16	69	1153
17	72	1128
18	74	1096
19	75	1063
20	77	1032
21	78	995
22	79	955
23	80	921
24	80	889
25	81	863
26	83	843
27	83	814
28	84	786
29	84	764
30	87	756
31	87	732
32	89	720
33	90	708
34	92	697
35	93	685
36	95	676
37	96	663
38	97	654
39	100	651
40	101	638
41	101	626
42	102	610
43	103	604
44	105	597
45	105	584
46	106	574
47	108	568
48	108	557
49	109	545
50	110	539
51	111	530
52	112	525
53	114	521
54	115	516
55	116	506
56	117	501
57	119	496
58	119	487
59	119	478
60	121	474
61	121	467
62	123	463
63	124	458
64	125	455
65	127	451
66	129	449
67	130	444
68	131	441
69	132	435
70	133	430
71	136	431
72	137	428
73	139	424
74	139	419
75	141	416
76	142	412
77	144	411
78	145	408
79	146	402
80	146	396
81	147	392
82	149	389
83	149	385
84	151	382
85	152	380
86	154	377
87	154	373
88	155	368
89	156	366
90	158	363
91	160	362
92	161	360
93	163	358
94	164	355
95	166	353
96	167	350
97	168	346
98	169	343
99	170	340
100	171	338
101	173	336
102	174	334
103	176	332
104	178	330
105	179	328
106	180	326
107	182	323
108	183	321
109	185	319
110	186	317
111	188	315
112	189	314
113	191	312
114	193	311
115	194	309
116	196	307
117	198	305
118	199	303
119	201	301
120	202	299
121	204	298
122	205	296
123	207	294
124	208	292
125	209	289
126	210	287
127	212	285
128	213	283
129	215	281
130	216	279
131	218	278
132	220	276
133	221	274
134	222	271
135	223	269
136	225	267
137	226	266
138	228	264
139	228	261
140	231	261
141	232	258
142	234	256
143	235	255
144	236	253
145	238	251
146	240	249
147	241	248
148	243	246
149	244	244
150	245	242
151	247	240
152	248	239
153	250	237
154	251	235
155	253	233
156	253	231
157	255	229
158	255	226
159	257	225
160	258	223
161	260	221
162	260	219
163	262	217
164	263	215
165	265	214
166	265	211
167	266	209
168	268	207
169	269	205
170	270	204
171	272	202
172	273	200
173	275	199
174	276	197
175	278	195
176	278	193
177	280	192
178	282	190
179	283	189
180	285	187
181	286	185
182	287	183
183	288	181
184	290	180
185	291	178
186	293	177
187	294	175
188	296	173
189	297	172
190	299	170
191	300	169
192	302	167
193	303	165
194	305	164
195	307	163
196	309	161
197	311	160
198	312	158
199	314	157
200	317	156
201	319	154
202	320	153
203	322	151
204	324	150
205	326	148
206	327	147
207	329	145
208	330	144
209	331	142
210	333	140
211	334	138
212	336	137
213	337	135
214	339	134
215	341	132
216	342	131
217	344	129
218	345	127
219	347	126
220	349	125
221	351	123
222	352	121
223	354	120
224	356	118
225	356	116
226	358	115
227	360	113
228	361	112
229	362	110
230	364	108
231	366	107
232	368	105
233	368	103
234	369	102
235	372	101
236	374	99
237	375	97
238	377	96
239	378	94
240	380	93
241	381	91
242	383	89
243	384	88
244	386	86
245	387	85
246	389	83
247	391	82
248	392	80
249	394	78
250	395	77
251	397	75
252	399	74
253	400	72
254	402	71
255	404	69
256	406	67
257	407	66
258	409	64
259	409	63
260	411	61
261	413	59
262	414	58
263	416	56
264	418	55
265	419	53
266	421	52
267	422	50
268	424	48
269	425	47
270	427	45
271	428	44
272	431	42
273	432	41
274	433	39
275	435	37
276	436	36
277	438	34
278	439	33
279	441	31
280	442	29
281	444	28
282	445	26
283	447	25
284	449	23
285	450	22
286	452	20
287	453	18
288	454	17
289	456	15
290	458	14
291	459	12
292	461	11
293	462	9
294	464	7
295	465	6
296	466	4
297	467	3
298	468	1
299	469	0
