_session_id,scenario_id,policy_name,goal_type,model_path,success,stop_reason,steps_total,steps_to_goal,progress_steps,repeated_actions,tool_errors,timeouts,progress_rate,repeated_action_rate,tool_error_rate,timeout_rate,active_time_seconds,wall_time_seconds,started_at_utc,finished_at_utc,_session_dir
20260610_170804_mvp_session,unknown,scripted,obtain_session,,True,goal_reached,1,1,1,0,0,0,1.0,0.0,0.0,0.0,29.522917227001017,29.52350394200039,2026-06-10T15:08:04Z,2026-06-10T15:08:33Z,wd-penhackit/data/sessions/20260610_170804_mvp_session
20260610_174303_mvp_session,unknown,scripted,obtain_session,,True,goal_reached,1,1,1,0,0,0,1.0,0.0,0.0,0.0,29.614509724000527,29.614832651997858,2026-06-10T15:43:03Z,2026-06-10T15:43:33Z,wd-penhackit/data/sessions/20260610_174303_mvp_session
20260610_180053_mvp_session,unknown,scripted,obtain_session,,True,goal_reached,1,1,1,0,0,0,1.0,0.0,0.0,0.0,29.240901083998324,29.24129387300127,2026-06-10T16:00:53Z,2026-06-10T16:01:23Z,wd-penhackit/data/sessions/20260610_180053_mvp_session
20260610_180453_mvp_session,unknown,scripted,obtain_session,,True,goal_reached,2,2,1,0,0,0,0.5,0.0,0.0,0.0,49.03478360400186,50.03679427099996,2026-06-10T16:04:53Z,2026-06-10T16:05:43Z,wd-penhackit/data/sessions/20260610_180453_mvp_session
20260611_141627_mvp_session,unknown,scripted,obtain_session,,True,goal_reached,2,2,2,0,0,0,1.0,0.0,0.0,0.0,46.351070339000216,47.35164729100052,2026-06-11T12:16:27Z,2026-06-11T12:17:14Z,wd-penhackit/data/sessions/20260611_141627_mvp_session
20260611_144007_mvp_session,unknown,scripted,obtain_session,,True,goal_reached,2,2,2,0,0,0,1.0,0.0,0.0,0.0,45.33353249600077,46.33543022199956,2026-06-11T12:40:07Z,2026-06-11T12:40:54Z,wd-penhackit/data/sessions/20260611_144007_mvp_session
20260611_145019_mvp_session,unknown,scripted,obtain_session,,True,goal_reached,2,2,2,0,0,0,1.0,0.0,0.0,0.0,44.99169559999973,45.99444650800069,2026-06-11T12:50:19Z,2026-06-11T12:51:05Z,wd-penhackit/data/sessions/20260611_145019_mvp_session
20260611_145808_mvp_session,unknown,scripted,obtain_session,,True,goal_reached,2,2,2,0,0,0,1.0,0.0,0.0,0.0,45.329091788998994,46.33122337199893,2026-06-11T12:58:08Z,2026-06-11T12:58:54Z,wd-penhackit/data/sessions/20260611_145808_mvp_session
20260611_150749_mvp_session,unknown,scripted,obtain_session,,True,goal_reached,1,1,1,0,0,0,1.0,0.0,0.0,0.0,27.471105541000725,27.47141911200015,2026-06-11T13:07:49Z,2026-06-11T13:08:17Z,wd-penhackit/data/sessions/20260611_150749_mvp_session
20260611_151336_mvp_session,unknown,scripted,obtain_session,,True,goal_reached,2,2,2,0,0,0,1.0,0.0,0.0,0.0,46.03399028399872,47.03569491300004,2026-06-11T13:13:36Z,2026-06-11T13:14:23Z,wd-penhackit/data/sessions/20260611_151336_mvp_session
20260611_152813_mvp_session,unknown,scripted,obtain_session,,True,goal_reached,2,2,2,0,0,0,1.0,0.0,0.0,0.0,45.03230350799822,46.0336715630001,2026-06-11T13:28:13Z,2026-06-11T13:28:59Z,wd-penhackit/data/sessions/20260611_152813_mvp_session
20260611_153510_mvp_session,unknown,scripted,obtain_session,,False,policy_stop,1,,0,0,0,0,0.0,0.0,0.0,0.0,0.0003247339991503395,0.0008915950002119644,2026-06-11T13:35:10Z,2026-06-11T13:35:10Z,wd-penhackit/data/sessions/20260611_153510_mvp_session
20260611_154234_mvp_session,unknown,scripted,obtain_session,,False,policy_stop,10,,0,0,0,0,0.0,0.0,0.0,0.0,2.79566119899755,11.809381207000115,2026-06-11T13:42:34Z,2026-06-11T13:42:46Z,wd-penhackit/data/sessions/20260611_154234_mvp_session
20260611_155012_mvp_session,unknown,scripted,obtain_session,,False,policy_stop,10,,2,0,0,0,0.2,0.0,0.0,0.0,2.7276774030015076,11.740388619000441,2026-06-11T13:50:12Z,2026-06-11T13:50:24Z,wd-penhackit/data/sessions/20260611_155012_mvp_session
20260611_155448_mvp_session,unknown,scripted,obtain_session,,True,goal_reached,2,2,2,0,0,0,1.0,0.0,0.0,0.0,44.970943391999754,45.972458133001055,2026-06-11T13:54:48Z,2026-06-11T13:55:34Z,wd-penhackit/data/sessions/20260611_155448_mvp_session
20260611_160037_mvp_session,unknown,scripted,full_exploit,,True,goal_reached,1,1,1,0,0,0,1.0,0.0,0.0,0.0,19.74075170800097,19.74102941000092,2026-06-11T14:00:37Z,2026-06-11T14:00:56Z,wd-penhackit/data/sessions/20260611_160037_mvp_session
20260611_160359_mvp_session,unknown,scripted,obtain_session,,False,policy_stop,10,,2,0,0,0,0.2,0.0,0.0,0.0,2.7907665400016413,11.80152173300121,2026-06-11T14:03:59Z,2026-06-11T14:04:11Z,wd-penhackit/data/sessions/20260611_160359_mvp_session
20260611_160705_mvp_session,unknown,scripted,obtain_session,,False,policy_stop,10,,3,0,0,0,0.3,0.0,0.0,0.0,2.706346114999178,11.716665943000407,2026-06-11T14:07:05Z,2026-06-11T14:07:16Z,wd-penhackit/data/sessions/20260611_160705_mvp_session
20260611_164353_mvp_session,unknown,scripted,obtain_session,,False,policy_stop,10,,0,0,0,0,0.0,0.0,0.0,0.0,0.014367956995556597,9.025142190002953,2026-06-11T14:43:53Z,2026-06-11T14:44:02Z,wd-penhackit/data/sessions/20260611_164353_mvp_session
20260611_164450_mvp_session,unknown,scripted,obtain_session,,False,policy_stop,10,,3,0,0,0,0.3,0.0,0.0,0.0,2.7130717690051824,11.723208842999156,2026-06-11T14:44:50Z,2026-06-11T14:45:02Z,wd-penhackit/data/sessions/20260611_164450_mvp_session
20260611_170029_mvp_session,unknown,scripted,obtain_session,,False,policy_stop,10,,4,0,0,0,0.4,0.0,0.0,0.0,360.32294974899924,369.3439033930008,2026-06-11T15:00:29Z,2026-06-11T15:06:39Z,wd-penhackit/data/sessions/20260611_170029_mvp_session
20260611_171415_mvp_session,unknown,scripted,obtain_session,,False,policy_stop,10,,4,0,0,0,0.4,0.0,0.0,0.0,354.6079323779959,363.6180678819983,2026-06-11T15:14:15Z,2026-06-11T15:20:19Z,wd-penhackit/data/sessions/20260611_171415_mvp_session
20260611_191226_mvp_session,unknown,scripted,obtain_session,,False,policy_stop,9,,4,0,0,0,0.4444444444444444,0.0,0.0,0.0,38.811626261998754,46.83916435200081,2026-06-11T17:12:26Z,2026-06-11T17:13:12Z,wd-penhackit/data/sessions/20260611_191226_mvp_session
20260611_192140_mvp_session,unknown,scripted,obtain_session,,False,policy_stop,9,,4,0,0,0,0.4444444444444444,0.0,0.0,0.0,32.52735629800736,40.54507526499947,2026-06-11T17:21:40Z,2026-06-11T17:22:21Z,wd-penhackit/data/sessions/20260611_192140_mvp_session
20260611_193021_mvp_session,unknown,scripted,obtain_session,,False,policy_stop,9,,4,0,0,0,0.4444444444444444,0.0,0.0,0.0,32.54657474701162,40.57321438099825,2026-06-11T17:30:21Z,2026-06-11T17:31:02Z,wd-penhackit/data/sessions/20260611_193021_mvp_session
20260611_193207_mvp_session,unknown,scripted,obtain_session,,False,policy_stop,9,,4,0,0,0,0.4444444444444444,0.0,0.0,0.0,32.68990969700826,40.73315651699886,2026-06-11T17:32:07Z,2026-06-11T17:32:48Z,wd-penhackit/data/sessions/20260611_193207_mvp_session
20260611_200157_obtain_session_host_ssh,unknown,scripted,obtain_session,,False,policy_stop,10,,4,0,0,0,0.4,0.0,0.0,0.0,65.6245557420043,74.65331768499891,2026-06-11T18:01:57Z,2026-06-11T18:03:12Z,wd-penhackit/data/sessions/20260611_200157_obtain_session_host_ssh
