trained_at_utc,dataset_name,dataset_path,model_type,n_samples,n_train_samples,n_test_samples,n_features,n_classes,accuracy,precision_macro,recall_macro,macro_f1,weighted_f1,training_time_seconds,inference_time_seconds,avg_inference_time_seconds,output_dir,model_path
2026-06-10T12:07:32Z,dataset_7.jsonl,wd-penhackit/data/datasets/dataset_7.jsonl,decision_tree,11,8,3,17,11,0.0,0.0,0.0,0.0,0.0,0.0016075560015451629,0.00024019100055738818,8.006366685246273e-05,wd-penhackit/models/decision_tree/20260610_140732,wd-penhackit/models/decision_tree/20260610_140732/model.joblib
2026-06-10T12:08:25Z,dataset_10.jsonl,wd-penhackit/data/datasets/dataset_10.jsonl,decision_tree,17,12,5,17,17,0.0,0.0,0.0,0.0,0.0,0.002014423998843995,0.0002587300004961435,5.174600009922869e-05,wd-penhackit/models/decision_tree/20260610_140825,wd-penhackit/models/decision_tree/20260610_140825/model.joblib
2026-06-10T12:07:48Z,dataset_7.jsonl,wd-penhackit/data/datasets/dataset_7.jsonl,random_forest,11,8,3,17,11,0.0,0.0,0.0,0.0,0.0,0.20657236899933196,0.005580600000030245,0.0018602000000100816,wd-penhackit/models/random_forest/20260610_140747,wd-penhackit/models/random_forest/20260610_140747/model.joblib
2026-06-10T12:08:18Z,dataset_2.jsonl,wd-penhackit/data/datasets/dataset_2.jsonl,random_forest,12,9,3,17,12,0.0,0.0,0.0,0.0,0.0,0.210975996000343,0.008103082000161521,0.0027010273333871737,wd-penhackit/models/random_forest/20260610_140817,wd-penhackit/models/random_forest/20260610_140817/model.joblib
2026-05-20T21:56:00Z,dataset_http.jsonl,wd-penhackit/data/datasets/dataset_http.jsonl,catboost,14,,,17,,0.0,,,,,,,,wd-penhackit/models/zdeprecated/catboost,wd-penhackit/models/zdeprecated/catboost/model.joblib
2026-06-10T09:52:23Z,dataset_10.jsonl,wd-penhackit/data/datasets/dataset_10.jsonl,catboost,17,,,17,,0.0,,,,,,,,wd-penhackit/models/zdeprecated/catboost_1,wd-penhackit/models/zdeprecated/catboost_1/model.joblib
2026-05-20T21:01:10Z,dataset_3.jsonl,wd-penhackit/data/datasets/dataset_3.jsonl,decision_tree,14,,,17,,0.0,,,,,,,,wd-penhackit/models/zdeprecated/decision_tree,wd-penhackit/models/zdeprecated/decision_tree/model.joblib
2026-05-20T21:58:28Z,dataset_4.jsonl,wd-penhackit/data/datasets/dataset_4.jsonl,decision_tree,12,,,17,,0.0,,,,,,,,wd-penhackit/models/zdeprecated/decision_tree_1,wd-penhackit/models/zdeprecated/decision_tree_1/model.joblib
2026-06-10T09:51:58Z,dataset_10.jsonl,wd-penhackit/data/datasets/dataset_10.jsonl,decision_tree,17,,,17,,0.0,,,,,,,,wd-penhackit/models/zdeprecated/decision_tree_2,wd-penhackit/models/zdeprecated/decision_tree_2/model.joblib
2026-06-10T11:41:12Z,dataset_10.jsonl,wd-penhackit/data/datasets/dataset_10.jsonl,decision_tree,17,12,5,17,17,0.0,0.0,0.0,0.0,0.0,0.002713021000090521,0.00037179599894443527,7.435919978888705e-05,wd-penhackit/models/zdeprecated/decision_tree_3,wd-penhackit/models/decision_tree_3/model.joblib
